ID;Title;EpisodeTitle;Season;Episode;Year;EndYear;Budget (EUR);Gross (EUR);FilmingDays;Keywords;Language;Rating;Duration
828476;Game of Thrones;The North Remembers;2;1;2011;2011;7033750;;;armor*bastard*boy-king*brothel*brutality*child-murder*comet*death-of-baby*death-of-horse*dream*drowning*drowning-a-child*face-slap*girl-disguised-as-boy*helmet*infanticide*juvenile-dragon*paternity*poisoned-drink*polygamy*soldier*spear*sword*violence*woman-carrying-a-child;English;8.8;
828477;Game of Thrones;The Old Gods and the New;2;6;2011;2011;7033750;;;armor*assassination*attempted-gang-rape*attempted-rape*beheading*blood*book*botched-execution*boy-king*breasts*brutality*captive-woman*caught-in-the-act*clothes-ripping*dead-body*decapitation*dream*execution*fancy-dress*female-full-frontal-nudity*female-nudity*female-pubic-hair*grinding*helmet*leg-spreading*merchant*mock-execution*nudity*occupation*pubic-hair*public-execution*rapist-comeuppance*raven*rebellion*servant*sleeping*snowy-landscape*soldier*spear*spooning*summary-execution*sword*violence*woman-initiating-sex*woman-undressing*woman-undressing-for-a-man;English;9.0;
828478;Game of Thrones;The Pointy End;1;8;2011;2011;7033750;;148;armor*bare-chested-male*begging-for-mercy*boy*brutality*child-murders-a-child*dare*death*dog*duel*fencing-lesson*fight*handshake*helmet*immolation*male-nudity*murder*murder-of-a-child*pillaging*prisoner*queen*scout*severed-finger*sex*soldier*spear*sword*sword-fight*toungue-ripped-out*violence*whistling*wooden-sword;English;9.0;
828479;Game of Thrones;The Prince of Winterfell;2;8;2011;2011;7033750;;;bare-butt*extortion*female-nudity*female-rear-nudity*kiss*nudity*passionate-kiss*plot-twist*prisoner*prisoner-transport*sex-on-floor*sex-scene*sexual-attraction*snowy-landscape*topless-female-nudity*undressing-each-other;English;8.8;
828480;Game of Thrones;The Rains of Castamere;3;9;2011;2011;4689167;;;abstaining-from-alcohol*ambush*animal-attack*arranged-marriage*bird-attack*dead-woman-on-floor*dead-woman-with-eyes-open*death-of-expectant-mother*dire-wolf*eagle*killing-an-animal*man-kills-woman*massacre*murder-at-a-wedding*murder-of-a-pregnant-woman*murder-of-wife*plea-for-forgiveness*pregnant-woman-murdered*pregnant-woman-stabbed*punched-in-the-face*returning-character-killed-off*shot-with-an-arrow*stabbing*stolen-horse*sword-fight*test-of-loyalty*throat-slitting*tradition*wedding*wedding-ceremony*wedding-reception*wedding-tradition*windmill*wolf-attack*woman's-throat-slit*woman-kills-woman*woman-stabbed;English;9.9;51
828481;Game of Thrones;The Red Woman;6;1;2011;2011;;;;assassination*bastard-son*beard*blind*blood*bold*book*crying*desert*disease*eating*elf*eunuch*fantasy-world*fire*fog*foreign-language*horse-riding*knight*lady*lord-commander*mirror*mountain*night*queen*red-eyes*screaming*sea*ship*siblings*slave*smoke*snow*steward*stone*sword*sword-fight*wall*witch*wolf;English;8.4;
828482;Game of Thrones;The Wars to Come;5;1;2011;2011;7033750;;;burned-at-the-stake*fortune-teller*funeral*gay-kiss*male-nudity*masked-killer*prostitute*pyramid*throat-slitting*witch*younger-version-of-character;;8.4;
828483;Game of Thrones;The Watchers on the Wall;4;9;2011;2011;8206042;;;barrel*battle*blowing-horn*castle*climbing-a-wall*climbing-up-a-wall*death-by-hammer*death-of-lover*first-kiss*flaming-arrow*giant*hammer*hammer-blow-to-the-head*hiding*hiding-place*hit-on-the-head-with-a-hammer*horn*imax-version*kiss*mammoth*night-watch*owl*siege*snow*swordplay*violence;English;9.5;
828484;Game of Thrones;The Winds of Winter;6;10;2011;2011;;;;assassination*baby*beard*bird*body-armor*candle*counselor*crown*crying*dinner*drinking*dwarf*faith*fantasy-world*farewell*fat-man*flag*forest*gay*god*home*horse*king*kingdom*knife*leaf*library*lord*mad-queen*needle*pie*priest*pyramid*queen*redhead*running*ship*small-children*smiling*snow*stairs*sword*torch*trial*tunnel*uncle*white-walker*wildfire*wine*winter*yelling;English;9.9;
828485;Game of Thrones;The Wolf and the Lion;1;5;2011;2011;7033750;;148;animal-in-episode-title*archery*armor*bare-butt*bare-chested-male*blow-job*body-shaving*bound-and-hooded*breast-feeding*breast-feeding-a-grown-child*brutality*cat*disobeying-orders*dragon*dragon's-egg*duel*female-full-frontal-nudity*female-nudity*fight*gray-tabby-cat*helmet*horse-beheaded*illegitimate-child*joust*jousting*knife*male-full-frontal-nudity*male-nudity*male-pubic-hair*male-rear-nudity*map*oral-sex*penis*prostitute*pubic-hair*queen*red-rose*sex-scene*shaving-someone's-armpit*soldier*spear*stabbed-in-the-eye*sword*sword-fight*violence;English;9.0;
828486;Game of Thrones;Two Swords;4;1;2011;2011;8206042;;;dragon*forge*number-in-episode-title*steward*swordsmith*troops*two-word-episode-title;English;9.1;
828487;Game of Thrones;Unbowed, Unbent, Unbroken;5;6;2011;2011;7033750;;;bath*cellar*comma-in-episode-title*fight*game*hearing*homosexuality*punctuation-in-episode-title*rape*slave-ship*testimony*washing-a-dead-body*water-garden*wedding*wedding-night;;7.9;
828488;Game of Thrones;Valar Dohaeris;3;1;2011;2011;4689167;;;axe*bare-chested-male*black-man*camp*castle*cleavage*compassion*compassionate-visit*dagger*dead-body*facial-scar*female-nudity*giant*horse-riding*interrupted-sex*lone-survivor*luxury-brothel*massacre*mirror*nudity*ocean*orphanage*pirate*prostitute*sailing*scantily-clad-female*scar*sex-scene*ship*sword*two-word-episode-title*walking-in-mud*wolf*writing-a-letter;English;8.8;55
828489;Game of Thrones;Valar Morghulis;2;10;2011;2011;7033750;;;black-eye*blizzard*bound-in-chains*boy-king*broken-engagement*burned-out-castle*burning-a-dead-body*burning-man*cleavage*close-up-of-eye*coin*doppelganger*dragon*dwarf*female-nudity*fire-breathing-dragon*grabbed-by-the-throat*horse*king*luxury-brothel*magic*marriage*night-watch*potion*prince*prostitute*queen*scarred-face*snow*stabbed-with-a-spear*stabbed-with-sword*strangulation*sword-fight*two-word-episode-title*undead*vision-of-dead-person*war-cry*wedding*wedding-ceremony*wight*wolf;English;9.4;
828490;Game of Thrones;Walk of Punishment;3;3;2011;2011;4689167;;;anal-rape*attempted-rape*bare-butt*bound-together*bread*brothel*carcass*childbirth*cleavage*council*covered-in-blood*crucifixion*dead-horse*decapitated-horse*dismemberment*female-full-frontal-nudity*female-nudity*female-pubic-hair*female-rear-nudity*forest*foursome*funeral*funeral-pyre*gang-rape*giving-birth*hand-cut-off*horse-riding*loss-of-virginity*luxury-brothel*male-virgin*newborn-baby*paying-for-sex*prisoner*prostitute*pubic-hair*severed-hand*severed-horse's-head*slave*threatened-with-a-knife*tied-to-a-tree*viking-funeral;English;8.8;
828491;Game of Thrones;What Is Dead May Never Die;2;3;2011;2011;7033750;;;armor*bare-chested-male*bastard*bed*brutality*burning-a-letter*child-murder*coin*dream*duel*father-son-conflict*female-frontal-nudity*female-nudity*female-soldier*gay-kiss*gay-romance*girl-disguised-as-boy*hand-maiden*helmet*intrigue*kiss*kneeling*loyalty*man-refusing-sex*polygamy*pregnant-woman*prostitute*quarrel-between-couple*ritual*scared-woman*sex-scene*soldier*spear*sword*test*violence*woman-fights-a-man*woman-undressing-for-a-man;English;8.8;
828492;Game of Thrones;Winter Is Coming;1;1;2011;2011;11722917;;148;armor*arrow*bare-butt*bare-chested-male*beheaded-with-a-sword*beheading*body-parts-arranged-in-a-pattern*box-full-of-snakes*boy*breasts*brother-brother-relationship*brutality*bull's-eye*carcass*castle*caught-having-sex*chases-on-horseback*climbing-down-a-wall*close-up-of-breasts*decapitated-head*decapitation*deserter*discovering-a-dead-body*dragon*dragon's-egg*duel*egg*execution*fall-from-height*feast*fellatio*female-full-frontal-nudity*female-nudity*female-rear-nudity*frozen-corpse*helmet*hot-bath*illegitimate-son*incest*king*kneeling*knife*laughter*little-sister*male-nudity*man-undressing-a-woman*moose*mutilated-corpse*prince*queen*rascal*ritual*severed-head*sex-scene*soldier*spear*suit-of-armor*sword*target-shooting*undead*violence*vox-pop*wedding*wolf-cub*woman-in-a-hot-bath*woman-removing-a-man's-boots*woman-wearing-a-sheer-dress;English;8.9;
828493;Game of Thrones;Winter is coming;0;0;2011;2011;;;;;;;
828494;Game of Thrones;You Win or You Die;1;7;2011;2011;7033750;;148;armor*bare-chested-male*brothel*brother-brother-relationship*brutality*close-up-of-breasts*corporal-punishment*death-of-king*female-full-frontal-nudity*female-masturbation*girl-on-girl*helmet*in-laws*kneeling*lesbian-cunnilingus*lesbian-fingering*lesbian-sodomy*main-character-dies*male-full-frontal-nudity*male-pubic-hair*medieval-elevator*poisoned-wine*pubic-hair*queen*ritual*sex-scene*skinning-an-animal*soldier*spear*succession-to-the-throne*sword*title-spoken-by-character*violence*voyeur;English;9.2;
