range1;range2;count
R: >= 4h;F: [15-30[;1
F: [5-15[;B: [50-100[;10
F: [90-105[;B: >= 50,000,000;103
R: [1h15 - 1h30[;F: < 5;47
B: [10,000-50,000[;G: >= 500,000,000;0
F: [180-190[;B: >= 50,000,000;19
R: [5min - 15min[;F: [105-120[;4
R: [45min - 1h[;F: [30-45[;20
R: [2h30 - 3h[;F: [5-15[;6
R: [45min - 1h[;F: [180-190[;3
G: [50,000-100,000[;S: 7;525
G: [5,000,000-10,000,000[;S: 10;1
G: [10,000-50,000[;S: 1;0
F: [135-150[;B: [1,000,000-5,000,000[;23
R: [1h45 - 2h[;F: [150-165[;24
F: [45-60[;B: [1,000,000-5,000,000[;349
F: [135-150[;B: [500,000-1,000,000[;5
F: [135-150[;B: [50,000-100,000[;5
R: [1h15 - 1h30[;F: [30-45[;267
B: [1,000-5,000[;G: [1,000,000-5,000,000[;2
R: [2h30 - 3h[;F: < 5;6
G: [5,000,000-10,000,000[;S: 9;71
G: < 50;S: 8;10
B: < 50;G: [50,000,000-100,000,000[;0
B: [1,000,000-5,000,000[;G: [500,000-1,000,000[;213
B: [1,000,000-5,000,000[;G: [1,000-5,000[;51
B: [50,000-100,000[;G: [1,000,000-5,000,000[;13
B: [500,000-1,000,000[;G: [5,000,000-10,000,000[;36
F: [5-15[;B: [500-1000[;54
G: [100-500[;S: 10;0
B: [5,000-10,000[;G: [50,000,000-100,000,000[;0
B: [500-1000[;G: [10,000,000-50,000,000[;0
B: [10,000,000-50,000,000[;G: [100-500[;2
R: [1h45 - 2h[;F: >= 190;84
G: [1,000-5,000[;S: 4;26
F: >= 190;B: [50-100[;6
B: [1,000-5,000[;G: [5,000,000-10,000,000[;0
B: < 50;G: [100,000-500,000[;1
R: [30min - 45min[;F: [165-180[;1
B: [500-1000[;G: [1,000-5,000[;7
R: >= 4h;F: [165-180[;0
F: [45-60[;B: [1,000-5,000[;46
F: [75-90[;B: >= 50,000,000;69
B: [10,000-50,000[;G: [50-100[;0
F: [5-15[;B: [100,000-500,000[;90
F: [180-190[;B: [10,000,000-50,000,000[;28
R: [2h30 - 3h[;F: [60-75[;4
G: [500-1,000[;S: 9;4
B: [100,000-500,000[;G: [50,000-100,000[;42
B: >= 50,000,000;G: [1,000-5,000[;0
B: [100,000-500,000[;G: [500,000-1,000,000[;96
R: [2h - 2h15[;F: [165-180[;6
B: [5,000-10,000[;G: [1,000-5,000[;9
B: [10,000,000-50,000,000[;G: [50-100[;0
G: [1,000-5,000[;S: 3;11
G: [1,000,000-5,000,000[;S: 7;1298
R: [1h - 1h15[;F: [120-135[;15
B: [10,000-50,000[;G: [500,000-1,000,000[;14
R: [45min - 1h[;F: >= 190;75
G: [5,000-10,000[;S: 1;0
G: [500-1,000[;S: 1;0
G: < 50;S: 1;0
R: [5min - 15min[;F: [180-190[;5
B: [1,000-5,000[;G: >= 500,000,000;0
R: [5min - 15min[;F: [30-45[;82
F: [135-150[;B: [50-100[;1
F: [105-120[;B: [50-100[;0
B: [50-100[;G: >= 500,000,000;0
R: [2h15 - 2h30[;F: [165-180[;5
B: [50,000-100,000[;G: [50,000,000-100,000,000[;0
B: [100-500[;G: [50,000,000-100,000,000[;0
B: [5,000,000-10,000,000[;G: < 50;0
F: [180-190[;B: [50,000-100,000[;5
R: [45min - 1h[;F: [150-165[;4
R: < 5min;F: < 5;90
R: < 5min;F: [75-90[;2
F: [60-75[;B: [5,000,000-10,000,000[;165
B: [1,000,000-5,000,000[;G: [10,000,000-50,000,000[;382
G: [50,000-100,000[;S: 3;16
F: [150-165[;B: [5,000-10,000[;7
R: [1h45 - 2h[;F: [5-15[;10
B: [100,000-500,000[;G: [10,000-50,000[;101
G: [5,000,000-10,000,000[;S: 8;347
B: < 50;G: [5,000-10,000[;0
R: [45min - 1h[;F: [5-15[;36
R: [15min - 30min[;F: [15-30[;133
B: [10,000,000-50,000,000[;G: [500,000-1,000,000[;65
B: [5,000-10,000[;G: [10,000-50,000[;12
F: >= 190;B: >= 50,000,000;52
B: [5,000-10,000[;G: [5,000,000-10,000,000[;0
F: < 5;B: [10,000-50,000[;317
F: [180-190[;B: [500-1000[;2
G: [50,000,000-100,000,000[;S: 1;0
G: [100,000-500,000[;S: 9;100
B: < 50;G: [500-1,000[;1
R: [2h - 2h15[;F: [5-15[;6
G: [50-100[;S: 0;0
R: [1h - 1h15[;F: [150-165[;9
B: [100,000-500,000[;G: [100-500[;2
F: [135-150[;B: [100,000-500,000[;13
R: [15min - 30min[;F: [75-90[;13
B: [5,000,000-10,000,000[;G: [1,000-5,000[;12
F: [120-135[;B: < 50;1
B: [5,000-10,000[;G: [100,000,000-500,000,000[;0
R: [5min - 15min[;F: [120-135[;7
B: [1,000,000-5,000,000[;G: [100-500[;4
G: [1,000,000-5,000,000[;S: 8;951
R: [15min - 30min[;F: [120-135[;9
B: [10,000-50,000[;G: [10,000-50,000[;58
R: [2h30 - 3h[;F: [90-105[;4
R: [30min - 45min[;F: [60-75[;14
R: [5min - 15min[;F: [90-105[;14
R: [1h - 1h15[;F: [30-45[;32
R: [2h - 2h15[;F: [30-45[;35
B: [100-500[;G: [1,000-5,000[;6
R: [30min - 45min[;F: < 5;30
G: [100,000,000-500,000,000[;S: 2;0
B: >= 50,000,000;G: [10,000,000-50,000,000[;117
R: [30min - 45min[;F: [75-90[;8
B: [1,000,000-5,000,000[;G: [50,000-100,000[;99
F: [15-30[;B: [100-500[;40
G: [50,000,000-100,000,000[;S: 9;42
G: [500-1,000[;S: 0;0
G: < 50;S: 0;0
R: [1h15 - 1h30[;F: [45-60[;164
F: >= 190;B: [1,000,000-5,000,000[;119
B: [500,000-1,000,000[;G: < 50;0
F: [120-135[;B: [500,000-1,000,000[;9
G: [50,000,000-100,000,000[;S: 5;43
G: [1,000-5,000[;S: 6;168
G: [50-100[;S: 5;6
B: [5,000-10,000[;G: [500,000-1,000,000[;3
F: [60-75[;B: [10,000,000-50,000,000[;389
B: [100,000-500,000[;G: [100,000-500,000[;185
G: [100,000-500,000[;S: 3;39
F: < 5;B: [5,000-10,000[;219
B: [500,000-1,000,000[;G: [100,000,000-500,000,000[;3
G: < 50;S: 10;1
R: [2h30 - 3h[;F: [45-60[;4
G: [5,000,000-10,000,000[;S: 7;488
F: >= 190;B: [500-1000[;28
G: [1,000-5,000[;S: 10;4
B: [1,000-5,000[;G: < 50;1
G: [50,000-100,000[;S: 1;0
B: [500-1000[;G: [50,000,000-100,000,000[;0
R: [1h30 - 1h45[;F: [135-150[;36
B: [50-100[;G: [500,000-1,000,000[;0
R: [2h15 - 2h30[;F: [5-15[;6
B: [100-500[;G: [500,000-1,000,000[;1
F: [60-75[;B: [500,000-1,000,000[;87
B: [10,000,000-50,000,000[;G: [100,000,000-500,000,000[;467
B: [10,000-50,000[;G: [1,000-5,000[;24
F: [60-75[;B: < 50;2
R: >= 4h;F: [60-75[;3
G: [1,000,000-5,000,000[;S: 6;725
G: [100-500[;S: 9;5
R: [1h45 - 2h[;F: < 5;9
